Ruolo,Nome,Squadra,Quotazione
P,Meret,Napoli,12
P,Sommer,Inter,14
P,Di Gregorio,Juventus,13
D,Buongiorno,Napoli,18
D,Bastoni,Inter,20
D,Bremer,Juventus,19
D,Theo Hernandez,Milan,22
D,Di Lorenzo,Napoli,17
D,Dimarco,Inter,19
D,Calafiori,Arsenal,15
D,Kim,Bayern,16
C,Barella,Inter,22
C,McTominay,Napoli,21
C,Koopmeiners,Juventus,20
C,Reijnders,Milan,18
C,Zielinski,Inter,16
C,Pellegrini,Roma,17
C,Fabbian,Bologna,10
A,Osimhen,Napoli,35
A,Lautaro Martinez,Inter,38
A,Vlahovic,Juventus,30
A,Leao,Milan,28
A,Lukaku,Napoli,25
A,Retegui,Atalanta,24
